countyfips,date,mobility,yoy_change,year,month,yearmonth,day,Date
24017,2021-07-26 00:00:00,-52.5,-0.877906976744186,2021,07,2021-07,26,2021-07-26
24021,2021-07-26 00:00:00,155.5,-1.469079939668175,2021,07,2021-07,26,2021-07-26
24031,2021-07-26 00:00:00,-64.0,-0.5057915057915058,2021,07,2021-07,26,2021-07-26
24033,2021-07-26 00:00:00,-564.0,0.504,2021,07,2021-07,26,2021-07-26
24037,2021-07-26 00:00:00,57.5,-0.5892857142857143,2021,07,2021-07,26,2021-07-26
51013,2021-07-26 00:00:00,-530.5,0.9757914338919926,2021,07,2021-07,26,2021-07-26
51059,2021-07-26 00:00:00,-114.0,-0.3804347826086957,2021,07,2021-07,26,2021-07-26
51061,2021-07-26 00:00:00,365.0,-1.851808634772462,2021,07,2021-07,26,2021-07-26
51107,2021-07-26 00:00:00,-321.5,-0.39510818438381934,2021,07,2021-07,26,2021-07-26
51153,2021-07-26 00:00:00,314.0,-2.715846994535519,2021,07,2021-07,26,2021-07-26
51187,2021-07-26 00:00:00,136.5,-0.5227272727272727,2021,07,2021-07,26,2021-07-26
51510,2021-07-26 00:00:00,-461.5,1.4613333333333332,2021,07,2021-07,26,2021-07-26
51610,2021-07-26 00:00:00,-13.0,-0.9576547231270358,2021,07,2021-07,26,2021-07-26
51683,2021-07-26 00:00:00,3.0,-0.8846153846153846,2021,07,2021-07,26,2021-07-26
11001,2021-07-27 00:00:00,-229.5,-0.0892857142857143,2021,07,2021-07,27,2021-07-27
24009,2021-07-27 00:00:00,90.5,-0.3649122807017544,2021,07,2021-07,27,2021-07-27
24017,2021-07-27 00:00:00,-104.0,-0.7541371158392435,2021,07,2021-07,27,2021-07-27
24021,2021-07-27 00:00:00,79.0,-1.2244318181818181,2021,07,2021-07,27,2021-07-27
24031,2021-07-27 00:00:00,190.5,-2.459770114942529,2021,07,2021-07,27,2021-07-27
24033,2021-07-27 00:00:00,-564.0,0.47837483617300136,2021,07,2021-07,27,2021-07-27
24037,2021-07-27 00:00:00,-339.0,5.457142857142857,2021,07,2021-07,27,2021-07-27
51013,2021-07-27 00:00:00,-531.5,1.0209125475285172,2021,07,2021-07,27,2021-07-27
51059,2021-07-27 00:00:00,-115.0,-0.3715846994535519,2021,07,2021-07,27,2021-07-27
51061,2021-07-27 00:00:00,388.0,-2.869879518072289,2021,07,2021-07,27,2021-07-27
51107,2021-07-27 00:00:00,-385.0,-0.2652671755725191,2021,07,2021-07,27,2021-07-27
51153,2021-07-27 00:00:00,300.0,-3.0202020202020203,2021,07,2021-07,27,2021-07-27
51187,2021-07-27 00:00:00,136.0,-0.5413153456998314,2021,07,2021-07,27,2021-07-27
51510,2021-07-27 00:00:00,-462.0,5.119205298013245,2021,07,2021-07,27,2021-07-27
51610,2021-07-27 00:00:00,-129.0,-0.5714285714285714,2021,07,2021-07,27,2021-07-27
51683,2021-07-27 00:00:00,18.5,-0.24489795918367352,2021,07,2021-07,27,2021-07-27
11001,2021-07-28 00:00:00,-231.5,-0.32703488372093026,2021,07,2021-07,28,2021-07-28
24009,2021-07-28 00:00:00,-29.5,-1.3757961783439492,2021,07,2021-07,28,2021-07-28
24017,2021-07-28 00:00:00,-546.5,-0.05531547104580814,2021,07,2021-07,28,2021-07-28
24021,2021-07-28 00:00:00,151.5,-1.440406976744186,2021,07,2021-07,28,2021-07-28
24031,2021-07-28 00:00:00,-63.0,-0.125,2021,07,2021-07,28,2021-07-28
24033,2021-07-28 00:00:00,-557.0,0.43741935483870975,2021,07,2021-07,28,2021-07-28
24037,2021-07-28 00:00:00,0.5,-0.996875,2021,07,2021-07,28,2021-07-28
51013,2021-07-28 00:00:00,-396.0,0.5319148936170213,2021,07,2021-07,28,2021-07-28
51059,2021-07-28 00:00:00,-122.5,-0.3342391304347826,2021,07,2021-07,28,2021-07-28
51061,2021-07-28 00:00:00,385.0,-2.41804788213628,2021,07,2021-07,28,2021-07-28
51107,2021-07-28 00:00:00,-336.0,-0.34052993130520115,2021,07,2021-07,28,2021-07-28
51153,2021-07-28 00:00:00,214.0,-31.571428571428573,2021,07,2021-07,28,2021-07-28
51187,2021-07-28 00:00:00,135.0,-0.5514950166112957,2021,07,2021-07,28,2021-07-28
51510,2021-07-28 00:00:00,-461.5,5.236486486486487,2021,07,2021-07,28,2021-07-28
51610,2021-07-28 00:00:00,-134.0,-0.5518394648829432,2021,07,2021-07,28,2021-07-28
51683,2021-07-28 00:00:00,-68.0,0.014925373134328401,2021,07,2021-07,28,2021-07-28
11001,2021-07-29 00:00:00,-88.5,-0.7434782608695651,2021,07,2021-07,29,2021-07-29
24009,2021-07-29 00:00:00,-134.0,-1.9852941176470589,2021,07,2021-07,29,2021-07-29
24017,2021-07-29 00:00:00,-57.0,-0.898936170212766,2021,07,2021-07,29,2021-07-29
24021,2021-07-29 00:00:00,7.5,-1.0213068181818181,2021,07,2021-07,29,2021-07-29
24031,2021-07-29 00:00:00,160.5,-1.8514588859416445,2021,07,2021-07,29,2021-07-29
24033,2021-07-29 00:00:00,-614.0,9.771929824561404,2021,07,2021-07,29,2021-07-29
24037,2021-07-29 00:00:00,0.0,-1.0,2021,07,2021-07,29,2021-07-29
51013,2021-07-29 00:00:00,-180.5,-0.3057692307692308,2021,07,2021-07,29,2021-07-29
51059,2021-07-29 00:00:00,-144.0,-0.23404255319148937,2021,07,2021-07,29,2021-07-29
51061,2021-07-29 00:00:00,370.0,-2.3627992633517496,2021,07,2021-07,29,2021-07-29
51107,2021-07-29 00:00:00,-406.5,-0.22718631178707227,2021,07,2021-07,29,2021-07-29
51153,2021-07-29 00:00:00,114.0,-1.4701030927835053,2021,07,2021-07,29,2021-07-29
51187,2021-07-29 00:00:00,571.0,0.9096989966555185,2021,07,2021-07,29,2021-07-29
51510,2021-07-29 00:00:00,-394.0,1.0414507772020727,2021,07,2021-07,29,2021-07-29
51610,2021-07-29 00:00:00,-139.0,-0.5382059800664452,2021,07,2021-07,29,2021-07-29
51683,2021-07-29 00:00:00,64.5,20.5,2021,07,2021-07,29,2021-07-29
11001,2021-07-30 00:00:00,-233.5,-0.33570412517780934,2021,07,2021-07,30,2021-07-30
24009,2021-07-30 00:00:00,-55.0,-0.5175438596491229,2021,07,2021-07,30,2021-07-30
24017,2021-07-30 00:00:00,-108.5,1.0666666666666669,2021,07,2021-07,30,2021-07-30
24021,2021-07-30 00:00:00,69.0,-1.1672727272727272,2021,07,2021-07,30,2021-07-30
24031,2021-07-30 00:00:00,160.5,-2.1715328467153285,2021,07,2021-07,30,2021-07-30
24033,2021-07-30 00:00:00,-409.0,5.704918032786885,2021,07,2021-07,30,2021-07-30
24037,2021-07-30 00:00:00,0.0,-1.0,2021,07,2021-07,30,2021-07-30
