countyfips,countyname,cityid,cityname,czname,statename,statefips,stateabbrev,county_pop2019,ZIP,USPS_ZIP_PREF_CITY,RES_RATIO_x,BUS_RATIO_x,OTH_RATIO,TOT_RATIO_x,TOT_RATIO_y,RES_RATIO_y,BUS_RATIO_y,nearest_city,distance
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1504,BLACKSTONE,0.9984218832193582,1.0,1.0,0.9985700667302193,0.9985700667302193,0.9984218832193582,1.0,Boston,52.69716692462963
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1505,BOYLSTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,53.88388388671637
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1506,BROOKFIELD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,88.43881555324076
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1507,CHARLTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,78.8057067018698
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1510,CLINTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,52.03053129794545
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1515,EAST BROOKFIELD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,82.29424410381039
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1516,DOUGLAS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,66.4084555424331
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1518,FISKDALE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,90.85489708835345
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1519,GRAFTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,53.84182056047521
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1520,HOLDEN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,64.98572649272282
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1522,JEFFERSON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,66.31069432027992
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1523,LANCASTER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,52.33135086971533
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1524,LEICESTER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,71.6726495461826
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1525,LINWOOD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,54.72828993399674
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1527,MILLBURY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,61.88149360114767
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1529,MILLVILLE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,55.813796119796244
